Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP2564000W,16008029,Montgomery County Police,Property Damage Crash,02/17/2016 06:26:00 PM,County,MIDCOUNTY HWY,SHADY GROVE RD,,,,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,,166C71AD-93CF-4DEC-9B45-085A36155EB1,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,9A7BB7C0-E606-47C5-981E-C26E09E20082,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,45,No,No,2010,MAZDA,3,39.14184833,-77.154635,"(39.14184833, -77.154635)"
MCP30310047,220000635,Montgomery County Police,Property Damage Crash,01/06/2022 11:00:00 AM,County,WELLER RD,GOODHILL RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,6ADB6C9B-1F7D-48A4-AF32-2A70423E5A37,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,600B3D25-B00C-4A4B-85E9-178D74EC0093,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,No,No,2011,HONDA,4D,39.06356333,-77.07254833,"(39.06356333, -77.07254833)"
MCP2969004S,180025249,Montgomery County Police,Property Damage Crash,05/23/2018 08:30:00 AM,Maryland (State),NEW HAMPSHIRE AVE,EXIT #13 (MD 200),,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,252AD8B5-66D6-4A5B-B6EE-7C4DADE10B13,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,00E9B3D7-1E6A-493A-9821-E89FCD295508,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,35,No,No,2010,FORD,ESCAPE,39.08763667,-76.99966,"(39.08763667, -76.99966)"
MCP2657000P,15030922,Montgomery County Police,Property Damage Crash,06/24/2015 11:44:00 PM,,,,"Parking lot of TGI Fridays located at 12281 Tech Road, Silver Spring, MD.",,,OTHER,CLEAR,,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,72240786-5F0D-4122-A798-5ED1434A839B,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,03477A24-F037-461E-A19F-2B764F9A2D08,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,,North,10,No,No,2015,TOYOTA,COROLLA,39.05690893,-76.96659923,"(39.05690893, -76.96659923)"
MCP26980010,15030280,Montgomery County Police,Property Damage Crash,06/21/2015 11:19:00 AM,Maryland (State),LAYHILL RD,BAUGHMAN DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D1FAA5AB-0BF6-496E-BBCA-7933C7932A21,Yes,NO APPARENT INJURY,,UNKNOWN,MD,98A751D4-A72C-4120-B7B4-AED0DB299F18,DISABLING,TWELVE OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",MOVING CONSTANT SPEED,North,40,No,No,2013,FORD,E250,39.10381,-77.03921,"(39.10381, -77.03921)"
MCP3019000R,170501028,Montgomery County Police,Property Damage Crash,04/08/2017 02:45:00 AM,Maryland (State),OLD GEORGETOWN RD,CORDELL AVE,,,,STRAIGHT MOVEMENT ANGLE,,DRY,DARK LIGHTS ON,NO CONTROLS,ALCOHOL CONTRIBUTED,,E4BE8A50-5DBC-4BAE-8C8E-8D8946DA66FB,Yes,NO APPARENT INJURY,,UNKNOWN,VA,1C733ECB-36E2-4E91-9213-7426B7666371,FUNCTIONAL,FIVE OCLOCK,PASSENGER CAR,BACKING,South,10,No,No,2016,CHEVROLET,4DR,38.98819344,-77.09865242,"(38.98819344, -77.09865242)"
MCP34500011,250015698,MONTGOMERY,Injury Crash,04/10/2025 07:45:00 PM,Maryland (State) Route,SANDY SPRING RD (WB/L),,,,,Front to Rear,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,A3388F34-1E22-4605-A9F8-E369030FB5D3,No,No Apparent Injury,,Unknown,MD,3F842B7E-16DA-4578-B27E-06CA9C745C66,Superficial,Twelve O Clock,Passenger Car,Moving Constant Speed,Westbound,45,No,No,2021,KIA,SOUL,39.1062891,-76.91829082,"(39.1062891, -76.91829082)"
EJ7894005C,240060839,GAITHERSBURG,Injury Crash,12/20/2024 11:58:00 AM,Municipality Route,BANK ST,,,,,"Sideswipe, Opposite Direction",Snow,Wet,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,209CD814-165C-44F2-9179-738D24FB7354,No,Suspected Minor Injury,,Not Distracted,MD,CFFE68A7-14A4-4789-BF12-8A78CEA0A79D,Disabling,Eleven O Clock,Passenger Car,Moving Constant Speed,Northbound,25,No,No,2015,VOLKSWAGEN,JETTA,39.14032289,-77.22284448,"(39.14032289, -77.22284448)"
MCP21160042,16018092,Montgomery County Police,Injury Crash,04/13/2016 03:43:00 PM,County,AVERY RD,WARM SPRINGS DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,29584E7B-3DAF-4A7C-9B1E-47496EF5BF55,Yes,NO APPARENT INJURY,,UNKNOWN,MD,2E4E6A31-9D0F-47A7-AF14-F295E4B6EE04,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,30,No,No,2013,KIA,4S,39.11514,-77.12166833,"(39.11514, -77.12166833)"
MCP2923009S,230052439,Montgomery County Police,Property Damage Crash,08/31/2023 01:34:00 PM,County,AMHERST AVE,BLUERIDGE AVE,,,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,095CF137-934E-47A8-B1BA-4B6AAEC80FF5,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,07A9859E-A2C9-462E-BACE-D24FC0D73EDB,SUPERFICIAL,TEN OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",MOVING CONSTANT SPEED,South,25,No,No,2017,CHEVROLET,CG,39.04375365,-77.04784656,"(39.04375365, -77.04784656)"
MCP3129009K,240029431,MONTGOMERY,Property Damage Crash,06/21/2024 11:10:00 AM,County Route,BONIFANT RD,LAYHILL RD,,,,Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,6F79B5E6-A85B-4099-ABB2-AE9F30C43599,Yes,No Apparent Injury,,Not Distracted,MD,09924688-25E3-43E7-9A0B-38C5A1FA860A,Disabling,Twelve O Clock,Passenger Car,Accelerating,Northbound,35,No,No,2017,HYUNDAI,ELANTRA,39.09058719,-77.04477308,"(39.09058719, -77.04477308)"
DD56490036,230032120,Rockville Police Departme,Injury Crash,07/05/2023 11:32:00 PM,Maryland (State),FALLS RD,RAMP 5 FR RAMP 8 (FR IS270) TO MD 189 EB,,,,OTHER,,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,,,013050FA-75E6-42E7-A974-EDC73CEB909C,Unknown,POSSIBLE INJURY,,NOT DISTRACTED,MD,CBA8300A-331B-46A4-906E-311FA8CEA8F1,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,30,No,No,2020,TOYT,SD,39.07435107,-77.16420044,"(39.07435107, -77.16420044)"
MCP2399000T,16024369,Montgomery County Police,Property Damage Crash,05/16/2016 06:13:00 PM,County,GOSHEN RD,GREEN RUN WAY,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,CDCC1670-F565-491B-B970-A433A71CFC4F,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,150A9BFA-500F-4FC6-934E-D8D824D99955,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,35,No,No,2011,CADI,ESCALADE,39.18358333,-77.18783833,"(39.18358333, -77.18783833)"
DD55270037,200013661,Rockville Police Departme,Property Damage Crash,03/22/2020 06:00:00 PM,Municipality,THORNDEN RD,STANLEY AVE,,ROCKVILLE,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,ALCOHOL CONTRIBUTED,,38B75B01-A415-4881-8AE2-B2C2BAFAAF65,Yes,NO APPARENT INJURY,,UNKNOWN,MD,0ED5A1C9-8611-4216-9ED1-DE04B0B1A867,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,30,No,No,2000,CHERVERLET,4DR,39.08901833,-77.126695,"(39.08901833, -77.126695)"
DD56240043,200020676,Rockville Police Departme,Property Damage Crash,05/24/2020 04:00:00 PM,Maryland (State),VEIRS MILL RD,ARDENNES AVE,,ROCKVILLE,,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,97EE49E3-631E-43A2-8A60-3E07E36F56C9,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,F57C2728-60CA-41D8-935E-35319F2DFE3C,SUPERFICIAL,THREE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,40,No,No,2007,ACURA,4S,39.07615826,-77.12017591,"(39.07615826, -77.12017591)"
MCP9113005Q,200003202,Montgomery County Police,Injury Crash,01/20/2020 09:54:00 AM,Maryland (State),GEORGIA AVE,KAYSON ST,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,F0DC21F0-9FAB-44C6-9BCC-22301FAB6F3B,Yes,POSSIBLE INJURY,,LOOKED BUT DID NOT SEE,MD,0A3BA17C-05C9-4FAC-97A4-FBBFA354E2BA,DISABLING,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35,No,No,2014,TOYOT,CAMERY,39.07099167,-77.06354167,"(39.07099167, -77.06354167)"
MCP27530056,210048387,Montgomery County Police,Property Damage Crash,11/29/2021 09:35:00 AM,,N LEISURE WORLD BLV,INTERLACHEN DR,,,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,C5C1B856-156B-466C-9386-5B40BE5302D9,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,0CF97742-1373-4F7F-A76B-B184C7821535,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2013,CHEV,4S,39.10507833,-77.07310333,"(39.10507833, -77.07310333)"
MCP29870024,170527149,Montgomery County Police,Property Damage Crash,08/27/2017 12:17:00 PM,County,NORTHAMPTON DR,BEACON RD,,,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,22B619C2-11D3-4FF1-9ED8-E86AD265400D,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FCE29ECE-464C-46B2-940A-9306386E1675,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,30,No,No,2003,VOLVO,XC90,39.00731833,-76.98290667,"(39.00731833, -76.98290667)"
MCP2987007W,230026130,Montgomery County Police,Property Damage Crash,05/31/2023 04:30:00 PM,County,CALVERTON BLVD,SHANANDALE DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,962FE5E4-5124-460C-9F66-CB3472BB5F21,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,B8CFEE1E-A3C8-4C93-A4E2-9EA9CCD7307F,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,40,No,No,2008,HONDA,CIVIC,39.05739833,-76.948515,"(39.05739833, -76.948515)"
HA2525000J,24002659,MCPARK,Property Damage Crash,12/23/2024 12:38:00 PM,Maryland (State) Route,GEORGIA AVE (SB/L),,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,51D2D53E-B421-479D-BC77-501A04E8997F,No,No Apparent Injury,,Not Distracted,MD,DE19BE5B-D15D-4219-ABAF-44A40B18DCF5,No Damage,Non-Collision,Passenger Car,Stopped in Traffic,Southbound,25,No,No,2012,NISSAN,VERSA,39.05824622,-77.05015313,"(39.05824622, -77.05015313)"
MCP27530036,180013609,Montgomery County Police,Injury Crash,03/19/2018 06:51:00 AM,Maryland (State),GEORGIA AVE,KAYSON ST,,,,SAME DIR REAR END,CLEAR,DRY,DAWN,,NONE DETECTED,,2A538F96-0253-4F33-854F-0F5B3A71069F,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,322B1C79-92FF-49A6-8ADB-62D773653CA3,DISABLING,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,45,No,No,2003,CHEV,4S,39.07148667,-77.06396833,"(39.07148667, -77.06396833)"
MCP2594003C,170545752,Montgomery County Police,Property Damage Crash,11/30/2017 08:50:00 AM,Maryland (State),NEW HAMPSHIRE AVE,NORWOOD RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,2AAA2D32-8EDA-4E29-83F3-327559F26967,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,FD3A7AC9-B0A7-415E-A067-8B103A0CD486,DISABLING,THREE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,45,No,No,2003,INFINITI,G35,39.10608,-77.00159667,"(39.10608, -77.00159667)"
MCP2753005V,220048363,Montgomery County Police,Property Damage Crash,11/03/2022 08:00:00 AM,Maryland (State),OLNEY SANDY SPRING RD,GEORGIA AVE,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,C38D9DE1-B118-4446-BAFC-0D00D0EA1DCF,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,917426B9-0BD1-44BD-A4BD-06967E7BE0BA,DISABLING,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,40,No,No,2013,FIAT,2S,39.15389167,-77.06792167,"(39.15389167, -77.06792167)"
MCP1595000G,16040812,Montgomery County Police,Injury Crash,08/11/2016 04:22:00 PM,,,,PARKING LOT OF 4816 BOILING BROOK PARKWAY,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,UNKNOWN,C0485500-5D3B-4033-B12F-58549EE385A9,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,94FF3024-C299-4291-AF0A-992CA8355EFC,UNKNOWN,TEN OCLOCK,PASSENGER CAR,STARTING FROM PARKED,Unknown,10,No,No,2012,VOLKSWAGEN,4S,39.03954833,-77.05194833,"(39.03954833, -77.05194833)"
MCP31340031,210041235,Montgomery County Police,Injury Crash,10/14/2021 06:26:00 PM,US (State),COLUMBIA PIKE,GREENCASTLE RD,,,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,7FD46B85-33C9-4587-9E89-218346E00CA9,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,61E50CAC-B6DD-4216-A4A4-FCE692C26CA1,DISABLING,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,40,No,No,2007,TOYT,RAV4,39.09546667,-76.93784267,"(39.09546667, -76.93784267)"
MCP2968001X,170546082,Montgomery County Police,Property Damage Crash,12/01/2017 06:43:00 PM,Maryland (State),DARNESTOWN RD,QUINCE ORCHARD RD,,,,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,,,A4CAF4DD-3C46-4675-BD27-551A320BC584,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,7F198804-3E74-4DC1-897E-F55D5E2EA9DC,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,40,No,No,2012,MERZ,4S,39.11796,-77.25261167,"(39.11796, -77.25261167)"
MCP3192005V,250025936,MONTGOMERY,Property Damage Crash,06/10/2025 05:55:00 PM,Maryland (State) Route,CONNECTICUT AVE,,,,,"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Unknown, Unknown",,93B5F568-CB72-4BF2-AC7E-A727101CAF02,No,No Apparent Injury,,,,B9EA0C94-611C-4702-B0A2-1FF9A150C308,Vehicle Not at Scene,Vehicle Not at Scene,Passenger Car,Moving Constant Speed,Northbound,35,No,No,2011,CADILLAC,CTS,39.05376083,-77.07410183,"(39.05376083, -77.07410183)"
DD5614000C,16006991,Rockville Police Departme,Property Damage Crash,02/10/2016 07:10:00 PM,Municipality,CHURCH ST,ROCKVILLE PIKE,,,,SAME DIR REAR END,,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,AD569058-EF5A-472D-B76D-9A751F92CC28,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,8D3B6E18-BA66-422C-AE24-B63E069AC3F0,SUPERFICIAL,SIX OCLOCK,VAN,SLOWING OR STOPPING,West,25,No,No,2004,TOYT,VN,39.08349699,-77.14674711,"(39.08349699, -77.14674711)"
DD5653002H,230050801,Rockville Police Departme,Property Damage Crash,08/22/2023 10:00:00 PM,Municipality,JEFFERSON PLAZA,FLEET ST,,ROCKVILLE,,SINGLE VEHICLE,,DRY,DARK LIGHTS ON,NO CONTROLS,,,94011912-276F-4E42-B922-387247EB58A1,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,076F9895-322A-4074-83BF-931833EA76AE,SUPERFICIAL,TWO OCLOCK,POLICE VEHICLE/EMERGENCY,PARKING,North,10,No,No,2016,FORD,TAURUS,39.08087535,-77.1464152,"(39.08087535, -77.1464152)"
MCP20080081,200033104,Montgomery County Police,Property Damage Crash,08/24/2020 07:12:00 PM,County,SEVEN LOCKS RD,DEMOCRACY BLVD,,,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,EBAE4ABB-C5C1-49CB-8F28-5DCEA278944F,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,51EDECAE-CF07-4EE5-9691-E2696C4AD86D,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2013,TOYOT,CAMRY,39.023055,-77.16249,"(39.023055, -77.16249)"
MCP3334001F,230028298,Montgomery County Police,Property Damage Crash,06/12/2023 03:40:00 PM,County,WAYNE AVE,MANSFIELD RD,,,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,75163F56-FD38-482D-B86D-97D0FA2178CF,Yes,NO APPARENT INJURY,,UNKNOWN,MD,5F0FFF98-0BC6-41AC-ACF6-E8DE737584E3,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,25,No,No,2018,HYUN,ELANTRA,38.99990223,-77.01320158,"(38.99990223, -77.01320158)"
MCP271700C2,170508373,Montgomery County Police,Property Damage Crash,05/17/2017 08:05:00 PM,Maryland (State),16TH ST,COLESVILLE RD,,,,OTHER,CLEAR,DRY,DARK LIGHTS ON,YIELD SIGN,NONE DETECTED,,A920CF23-F9F4-49D7-902B-8A256D7EA6CC,Yes,NO APPARENT INJURY,,UNKNOWN,MD,321C6DA9-E6B5-419D-8B23-60FC1A69F6B0,DISABLING,NINE OCLOCK,PASSENGER CAR,ACCELERATING,West,30,No,No,2015,NISSAN,VERSA,38.992638,-77.03624217,"(38.992638, -77.03624217)"
MCP27380057,240027699,MONTGOMERY,Injury Crash,06/10/2024 11:45:00 PM,County Route,WOLF DR,NEW HAMPSHIRE AVE,,,,Other,Rain,Wet,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,41A188C9-BA9A-47B2-860C-BE14642503AA,No,Suspected Minor Injury,,Unknown,MD,0D887366-7EF6-405F-A6BB-CAAFED586B0C,Disabling,Nine O Clock,Passenger Car,Turning Left,,40,No,No,2006,TOYOTA,CAMRY,39.07317464,-77.00266911,"(39.07317464, -77.00266911)"
MCP2651002W,190016444,Montgomery County Police,Property Damage Crash,04/09/2019 09:00:00 AM,Maryland (State),NEW HAMPSHIRE AVE,RAMP 8 FR MD 650 SB TO IS 495 WB,,,,OTHER,CLEAR,DRY,DAYLIGHT,,UNKNOWN,,F8F44528-AC96-4B86-9601-66317B4D0D26,Unknown,NO APPARENT INJURY,,UNKNOWN,MD,65F441D0-DFF6-4715-94FF-7966AD07028F,UNKNOWN,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,40,No,No,2018,NISSAN,ROGUE,39.02145509,-76.97711891,"(39.02145509, -76.97711891)"
DD5611000Z,16002310,Rockville Police Departme,Injury Crash,01/13/2016 10:17:00 AM,Maryland (State),ROCKVILLE PIKE,HALPINE RD,,ROCKVILLE,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,D382C4C1-A1D5-4CDF-AD6B-32428E1BE814,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,VA,E7962B30-EBE0-43FA-8070-CE3AD2501CC7,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,40,No,No,2013,LEXUS,ES350,39.0640025,-77.1239315,"(39.0640025, -77.1239315)"
MCP28130082,200004509,Montgomery County Police,Injury Crash,01/27/2020 07:30:00 PM,Maryland (State),VEIRS MILL RD,CENTERHILL ST,,,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,,,21EBDF1C-8131-49BC-A1D0-B3649B8D72B6,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,1B3E0FBF-0697-4027-A6D0-5ED0AEFCAC63,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,15,No,No,2013,NISS,PATHFINDER,39.05027167,-77.07233,"(39.05027167, -77.07233)"
DM8388003W,220013424,Takoma Park Police Depart,Injury Crash,03/29/2022 04:24:00 PM,Maryland (State),UNIVERSITY BLVD E,PRINCE GEORGES CO/L,,,PEDESTRIAN,OTHER,,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,ED610332-8B91-4308-A510-E1185297C43E,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,DC,05FBEEA0-4647-42AE-A9A2-43C723EA785A,NO DAMAGE,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,East,30,No,No,2003,FORD,EXPLORER,38.98797353,-76.9864275,"(38.98797353, -76.9864275)"
MCP3312000R,220013357,Montgomery County Police,Property Damage Crash,03/30/2022 11:50:00 AM,US (State),COLUMBIA PIKE,PRELUDE DR,,,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,5D7D110C-B035-4AFA-BB42-DBB2522EFEEB,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,D275181B-4742-4A3E-BF04-553A4B2AFD8F,SUPERFICIAL,EIGHT OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40,No,No,2002,HONDA,ODYSSEY,39.03877167,-76.998225,"(39.03877167, -76.998225)"
MCP27600037,230009524,Montgomery County Police,Property Damage Crash,02/25/2023 04:54:00 PM,Municipality,RUSSELL AVE,LAKE FOREST BLVD,,GAITHERSBURG,,HEAD ON LEFT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,,,2EF04743-CC6F-4FD1-8362-C0C17C65881E,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,77F6143B-1C89-49B5-851D-B9F610D4D814,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,30,No,No,2019,ALFA ROMEO,STELVIO,39.15131,-77.20711167,"(39.15131, -77.20711167)"
MCP30030041,190037608,Montgomery County Police,Property Damage Crash,08/07/2019 08:56:00 AM,,,,NIH/METRO ENTRANCE LOT @ ROCKVILLE PIKE & SOUTH DR,,,SAME DIR REAR END,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,48D4339B-1710-4703-A6C7-54911247AE56,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,A8837CF9-D71D-46B9-8982-647371420913,NO DAMAGE,TWELVE OCLOCK,TRANSIT BUS,PASSING,North,5,No,No,2017,GILLIG,LOW FLOOR,38.9994,-77.09833167,"(38.9994, -77.09833167)"
MCP2251002S,250015382,MONTGOMERY,Property Damage Crash,04/09/2025 07:57:00 AM,,,,"Parking Lot Way        1283 SEVEN LOCKS RD
MCPD FLEET PARKING AREA",,,"Sideswipe, Same Direction",Clear,,Daylight,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,90FC28B5-C02D-48BC-BDFC-D19284656071,No,No Apparent Injury,,Not Distracted,MD,A13A2FF1-F705-4532-A83D-B8869780FD01,Superficial,Three O Clock,Van - Passenger (15 Seats),Moving Constant Speed,Not On Roadway,0,No,No,2003,FORD,E-250,39.06580604,-77.16034492,"(39.06580604, -77.16034492)"
MCP229800JM,180027510,Montgomery County Police,Injury Crash,06/04/2018 06:00:00 PM,Maryland (State),FREDERICK RD,CROSSOVER,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,ILLEGAL DRUG PRESENT,,AD0CF45C-9AFB-4E0C-A682-7B19F1DE7777,Yes,POSSIBLE INJURY,,NOT DISTRACTED,MD,38767892-D973-4ACB-940A-A6B8AE22A5B4,DISABLING,TWELVE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,South,45,No,No,2011,FORD,F150,39.19655803,-77.24461287,"(39.19655803, -77.24461287)"
MCP27170023,15037902,MONTGOMERY,Property Damage Crash,07/31/2015 01:15:00 PM,County,DEMOCRACY BLVD,FIRE STATION #26,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,88535AB0-F9E2-4FE8-AF5D-AB51CF342962,Yes,NO APPARENT INJURY,,UNKNOWN,VA,BE7763E6-91CF-47B1-B59E-ABFCBAF22F83,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,40,No,No,2002,VOLKSWAGON,JETTA,39.0216,-77.13753,"(39.0216, -77.13753)"
MCP3058004F,210040277,Montgomery County Police,Property Damage Crash,10/08/2021 09:31:00 PM,Maryland (State),W MONTGOMERY AVE,NELSON ST,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,ALCOHOL CONTRIBUTED,,9723B66B-EC3C-4C97-BFFD-CE63F4A6DF18,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,6EC85B45-B5F2-4323-ABFE-F1B49888E03B,DISABLING,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,35,No,No,2005,TOYOTA,4 RUNNER,39.085675,-77.17129333,"(39.085675, -77.17129333)"
